Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;Type d'environnement;Laboratoire
1;3.91611;43.58528;03° 54' 58.00'' Est, 43° 35' 07.00'' Nord;34129;Mas de Gau;;34970;LATTES;06/12/2001;;FicheMesure175.pdf;Oui;4.01;Divers;SATELIT
2;4.04194;43.64694;04° 02' 31.00'' Est, 43° 38' 49.00'' Nord;34176;5539 Rue Lou Claou de la Oulivettas;;34130;MUDAISON;06/12/2001;;FicheMesure180.pdf;Oui;20.1;Divers;SATELIT
3;3.03167;43.36028;03° 01' 54.00'' Est, 43° 21' 37.00'' Nord;34225;Chemin de Montfaucon;résidence de  Mme SOUTADE;34620;PUISSERGUIER;23/05/2002;;FicheMesure543.pdf;Oui;3.9;Divers;APAVE
4;3.03278;43.36167;03° 01' 58.00'' Est, 43° 21' 42.00'' Nord;34225;Chemin de Quarante;résidence de  M. GONZALEZ;34620;PUISSERGUIER;23/05/2002;;FicheMesure545.pdf;Oui;2.3;Divers;APAVE
5;3.56444;43.64583;03° 33' 52.00'' Est, 43° 38' 45.00'' Nord;34114;480 Chemin de Pioch Courbi;Chez Mme et M. GALOIS;34150;GIGNAC;10/10/2002;;FicheMesure850.pdf;Oui;5.9;Rue / Route / Parking;APAVE
6;3.56306;43.64806;03° 33' 47.00'' Est, 43° 38' 53.00'' Nord;34114;Vieux chemin;Chez Mme et M. HERMITTE.;34150;GIGNAC;10/10/2002;;FicheMesure851.pdf;Oui;10.02;Rue / Route / Parking;APAVE
7;3.56306;43.64694;03° 33' 47.00'' Est, 43° 38' 49.00'' Nord;34114;401 Chemin de Pioch Courbi;Chez Mme et M. EON.;34150;GIGNAC;10/10/2002;;FicheMesure852.pdf;Oui;6.5;Rue / Route / Parking;APAVE
8;3.91611;43.58500;03° 54' 58.00'' Est, 43° 35' 06.00'' Nord;34129;Château d'eau de Boirargues;Au pied du château d'eau.;34970;LATTES;22/01/2003;;FicheMesure1072.pdf;Oui;7.1;Rue / Route / Parking;CSTB - Saint Martin d'Heres
9;3.91667;43.58667;03° 55' 00.00'' Est, 43° 35' 12.00'' Nord;34129;Avenue de la Mer - Garage Tunning XXS;Au début du chemin donnant sur le château d'eau par la route de Carnon.;34970;LATTES;22/01/2003;;FicheMesure1073.pdf;Oui;4.06;Rue / Route / Parking;
10;3.87806;43.60556;03° 52' 41.00'' Est, 43° 36' 20.00'' Nord;34172;16 Rue Durand;Sur le trottoir devant l'entrée du centre de formation cosmétique.;34000;MONTPELLIER;16/08/2006;;FicheMesure9169.pdf;Oui;6.2;;
11;3.82389;43.63361;03° 49' 26.00'' Est, 43° 38' 01.00'' Nord;34172;Cour des Provinces;Entre les entrées de n° 23 et 205, au pied des immeubles;34080;MONTPELLIER;05/10/2006;;FicheMesure9524.pdf;Oui;6.9;;
12;3.94556;43.57028;03° 56' 44.00'' Est, 43° 34' 13.00'' Nord;34198;10 Rue du Château d'Eau;Maison des Arts, devant l'entrée principale, côté rue Alphonse Daudet;34470;PEROLS;05/10/2006;;FicheMesure9529.pdf;Oui;5.5;;
13;3.68583;43.40194;03° 41' 09.00'' Est, 43° 24' 07.00'' Nord;34301;Chemin Saint Clair;Sur le point de vue / terrasse du parking Saint Clair.;34200;SETE;30/11/2006;;FicheMesure9907.pdf;Oui;5.6;;
14;3.37167;43.50944;03° 22' 18.00'' Est, 43° 30' 34.00'' Nord;34063;Chemin de l'herbette;Devant le club house du stade de Caux;34720;CAUX;20/12/2006;;FicheMesure10048.pdf;Oui;6.7;;
15;3.37889;43.50611;03° 22' 44.00'' Est, 43° 30' 22.00'' Nord;34063;Route de Nizas;Au pied du pylône;34720;CAUX;20/12/2006;;FicheMesure10050.pdf;Oui;25.0;;
16;3.83944;43.61694;03° 50' 22.00'' Est, 43° 37' 01.00'' Nord;34172;623 Rue d'Alco;Sur le parking de la résidence Cour des Ecoles, à côté de la cour de l'école maternelle Geneviève Bon;34080;MONTPELLIER;04/12/2006;;FicheMesure10061.pdf;Oui;7.02;;
17;3.83944;43.61611;03° 50' 22.00'' Est, 43° 36' 58.00'' Nord;34172;623 Rue d'Alco;Entre le bâtiment 3 de la résidence Cour des Ecoles et le groupe scolaire Joseph Deltheil;34080;MONTPELLIER;04/12/2006;;FicheMesure10062.pdf;Oui;9.2;;
18;3.86361;43.59278;03° 51' 49.00'' Est, 43° 35' 34.00'' Nord;34172;Rue Jacqueline Maillan;Quartier Croix d'argent, devant les garages;34070;MONTPELLIER;04/12/2006;;FicheMesure10063.pdf;Oui;3.9;;CSTB - Saint Martin d'Heres
19;3.86500;43.59306;03° 51' 54.00'' Est, 43° 35' 35.00'' Nord;34172;Rue Louis Aragon;Devant l'entrée de l'association à l'enfance, Quartier Croix d'Argent;34070;MONTPELLIER;04/12/2006;;FicheMesure10064.pdf;Oui;10.7;;
20;3.60750;43.42583;03° 36' 27.00'' Est, 43° 25' 33.00'' Nord;34157;4 Rue Pierre Auguste Massaloup;3ème étage, sur la terrasse à gauche;34140;MEZE;09/01/2007;;FicheMesure10148.pdf;Oui;2.9;;
21;3.88083;43.61611;03° 52' 51.00'' Est, 43° 36' 58.00'' Nord;34172;Rue Lakanal;Sur le trottoir, devant l'entrée du collège catholique La Salle.;34080;MONTPELLIER;07/03/2007;;FicheMesure10669.pdf;Oui;6.1;;
22;3.73889;43.79167;03° 44' 20.00'' Est, 43° 47' 30.00'' Nord;34274;"Camping ""le Pic Saint Loup"", route du Pic Saint Loup";Sur le terrain de jeu, à côté de la terrasse du bar, à l'entrée du camping.;34380;SAINT-MARTIN-DE-LONDRES;08/03/2007;;FicheMesure10675.pdf;Oui;5.7;;
23;3.74028;43.79250;03° 44' 25.00'' Est, 43° 47' 33.00'' Nord;34274;"Campind ""Pic Saint Loup"", route du Pic Saint Loup";Au croisement des deux chemins qui font le tour du camping, au fond du camping.;34380;SAINT-MARTIN-DE-LONDRES;08/03/2007;;FicheMesure10676.pdf;Oui;4.6;;
24;3.82778;43.61361;03° 49' 40.00'' Est, 43° 36' 49.00'' Nord;34172;Square Louis Carles;Entre les deux bancs, devant l'école maternelle Pape Carpantier;34080;MONTPELLIER;18/04/2007;;FicheMesure11186.pdf;Oui;5.5;;
